Designator,Footprint,Quantity,Value,LCSC Part #
"A1, A10, A11, A12, A13, A14, A15, A16, A2, A3, A4, A5, A6, A7, A8, A9",TSSP4038,16,TSSP4038,
C1,0603,1,1uF,
"C25, C4, C5, C6",0603,4,0.1uF,
C35,1206,1,100uF,
C36,0603,1,47uF,
C8,0603,1,4.7uF,
"D17, D21",0603,2,LED,
J1,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J2,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
R11,0603,1,150Ω,
R4,0603,1,100,
"R5, R6",0603,2,22Ω,
R7,0603,1,10kΩ,
"R8, R9",0603,2,5.1kΩ,
SW2,Reset switch,1,SW_MEC_5G,
TYPE-C1,NELTRON_5077CR-16SMC2-BK-TR,1,5077CR-16SMC2-BK-TR,
U2,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,
Y1,OSC_CSTCE16M0V53-R0,1,CSTCE16M0V53-R0,
