Designator,Mid X,Mid Y,Rotation,Layer
A0,150.0,-55.0,180.0,top
A1,167.22075398742135,-58.42542108179268,157.5,top
A10,118.18019451710705,-131.81980451710706,315.0,top
A11,108.42542091820734,-117.22075401257867,292.5,top
A12,105.0,-100.0,270.0,top
A13,108.42542108179266,-82.77924601257867,247.5,top
A14,118.18019548289294,-68.18019451710705,225.0,top
A15,132.77924691130087,-58.4254205355239,202.5,top
A2,181.81980548289297,-68.18019548289294,135.0,top
A3,191.57457908179268,-82.77924598742133,112.5,top
A4,195.0,-100.0,90.0,top
A5,191.57457891820732,-117.22075398742133,67.5,top
A6,181.81980451710703,-131.81980548289295,45.0,top
A7,167.22075401257865,-141.57457908179268,22.5,top
A8,150.0,-145.0,0.0,top
A9,132.77924601257865,-141.57457891820732,337.5,top
D18,135.629,-63.28,335.0,bottom
J2,150.0,-137.0,90.0,top
J3,133.01,-69.98,90.0,top
U1,150.0,-67.0,0.0,bottom
U2,150.0,-67.0,270.0,top
