Designator,Mid X,Mid Y,Rotation,Layer
CONNECTOR1,150.0,-61.55,0.0,top
D1,157.439993,-43.487643,97.5,bottom
D10,184.699401,-145.22114,232.5,bottom
D11,171.812956,-152.661133,247.5,bottom
D12,157.439993,-156.512357,262.5,bottom
D13,142.560007,-156.512357,277.5,bottom
D14,128.187044,-152.661133,292.5,bottom
D15,115.300599,-145.22114,307.5,bottom
D16,104.77886,-134.699401,322.5,bottom
D17,97.338867,-121.812956,337.5,bottom
D18,93.487643,-107.439993,352.5,bottom
D19,93.467339,-92.539703,7.5,bottom
D2,171.812956,-47.338867,112.5,bottom
D20,97.317862,-78.166039,22.5,bottom
D21,104.77886,-65.300599,37.5,bottom
D22,115.082849,-54.909928,52.5,bottom
D23,128.166278,-47.318101,67.5,bottom
D24,142.539703,-43.467339,82.5,bottom
D3,184.699401,-54.77886,127.5,bottom
D4,195.22114,-65.300599,142.5,bottom
D5,202.661133,-78.187044,157.5,bottom
D6,206.512357,-92.560007,172.5,bottom
D7,206.512357,-107.439993,187.5,bottom
D8,202.661133,-121.812956,202.5,bottom
D9,195.22114,-134.699401,217.5,bottom
J1,141.0,-142.45,180.0,top
MUX1,165.0,-52.0,180.0,top
MUX2,150.0,-151.5,270.0,top
MUX3,135.0,-52.0,0.0,top
R1,152.8,-43.8,0.0,top
R10,166.97,-46.45,345.0,top
R11,180.27,-52.6,330.0,top
R12,191.56,-62.14,315.0,top
R13,199.98,-74.18,300.0,top
R14,204.96,-88.0,285.0,top
R15,206.17,-102.66,270.0,top
R16,203.54,-117.04,255.0,top
R17,197.31,-130.42,240.0,top
R18,187.88,-141.64,225.0,top
R19,175.8,-150.06,210.0,top
R20,161.643111,-155.073526,195.0,top
R21,147.17,-156.16,180.0,top
R22,132.43,-153.4,165.0,top
R23,119.76,-147.38,150.0,top
R24,108.43,-137.79,135.0,top
R25,99.95,-125.75,120.0,top
R26,94.88,-111.68,105.0,top
R27,93.78,-97.38,90.0,top
R28,96.43,-82.8,75.0,top
R29,102.76,-69.45,60.0,top
R30,112.12,-58.35,45.0,top
R31,124.31,-49.94,30.0,top
R32,138.1,-44.95,15.0,top
R59,187.15,-57.71,52.5,top
R60,203.28,-81.69,22.5,top
R61,205.65,-110.88,352.5,top
R62,192.73,-137.47,322.5,top
R63,167.85,-153.9,292.5,top
R64,138.9,-155.81,262.5,top
R65,112.63,-143.16,232.5,top
R66,96.08,-118.59,202.5,top
R67,94.35,-87.94,172.5,top
R68,107.66,-61.6,142.5,top
R69,132.76,-45.71,112.5,top
R7,160.95,-44.59,82.5,top
T0,150.0,-42.98,90.0,bottom
T1,164.752686,-44.942228,105.0,bottom
T10,178.5,-149.363448,240.0,bottom
T11,164.752686,-155.057772,255.0,bottom
T12,150.0,-157.0,270.0,bottom
T13,135.247314,-155.057772,285.0,bottom
T14,121.5,-149.363448,300.0,bottom
T15,109.694913,-140.305087,315.0,bottom
T16,100.636552,-128.5,330.0,bottom
T17,94.942228,-114.752686,345.0,bottom
T18,93.0,-100.0,0.0,bottom
T19,94.942228,-85.247314,15.0,bottom
T2,178.5,-50.636552,120.0,bottom
T20,100.636552,-71.5,30.0,bottom
T21,109.694913,-59.694913,45.0,bottom
T22,121.5,-50.636552,60.0,bottom
T23,135.247314,-44.942228,75.0,bottom
T3,190.305087,-59.694913,135.0,bottom
T4,199.363448,-71.5,150.0,bottom
T5,205.057772,-85.247314,165.0,bottom
T6,207.0,-100.0,180.0,bottom
T7,205.057772,-114.752686,195.0,bottom
T8,199.363448,-128.5,210.0,bottom
T9,190.305087,-140.305087,225.0,bottom
