Designator,Footprint,Quantity,Value,LCSC Part #
A1,TEENSY4.1,1,TEENSY4.1,
BZ1,Buzzer UDX01CLFPH,1,Buzzer,
"C1, C26",0603,2,0.1μF,
C10,CP_Radial_D6.3mm_P2.50mm,1,100uF,
C11,0603,1,10uF,
C12,0603,1,0.1uF,
"CAMERA1, CAMERA2",GROVE-HW4-2.0,2,Conn_01x04_Pin,
"CATCHSENSOR1, LED1",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02_Pin,
GYRO1,BNO055,1,Conn_01x08_Pin,
J1,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
"J2, KICK1",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,Conn_01x03_Pin,
J3,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J6,FFC conector 0.5mm Pich,1,Conn_01x08_Pin,
LINE1,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,Conn_01x06_Pin,
MONITOR1,SSD1306 (akizuki),1,Conn_01x04_Pin,
"Q1, Q2",SOT-23,2,BSS138,
R1,0603,1,100,
"R10, R11, R3, R4",0603,4,10k,
"R12, R13, R14, R15, R5, R6, R7",0603,7,1kΩ,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,R,
"R8, R9",0603,2,5.1k,
"TACT1, TACT2, TACT3",Big tact switch MAIN,3,SW_MEC_5G,
TACT4,SW_PUSH_6mm,1,SW_MEC_5G,
TOGGLESWITCH1,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
TYPE-C1,Type-C moodule,1,~,
