Designator,Footprint,Quantity,Value,LCSC Part #
A1,TEENSY4.1,1,TEENSY4.1,
BZ1,Buzzer UDX01CLFPH,1,Buzzer,
"C1, C26",0603,2,0.1μF,
C10,CP_Radial_D6.3mm_P2.50mm,1,100uF,
C11,0603,1,10uF,
C12,0603,1,0.1uF,
"CAMERA1, CAMERA2",GROVE-HW4-2.0,2,Conn_01x04_Pin,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,24,WS2812B,
D25,D_SMA,1,SS14,
GYRO1,BNO055,1,Conn_01x08_Pin,
J1,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Pin,
J3,PinSocket_1x09_P2.54mm_Vertical,1,Conn_01x09_Pin,
J4,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J5, J7, J8",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,3,Conn_01x02_Pin,
J6,FFC conector 0.5mm Pich,1,Conn_01x08_Pin,
MONITOR1,SSD1306 (akizuki),1,Conn_01x04_Pin,
Q1,SOT-23,1,BSS138,
"R1, R10",0402,2,10k,
"R12, R13, R14, R5, R6, R7",0603,6,1kΩ,
R2,0805,1,100k,
R3,0603,1,100,
"R8, R9",0603,2,5.1k,
ROGO1,JLCPCB Big,1,Conn_01x01_Pin,
"TACT1, TACT2, TACT3",Big tact switch MAIN,3,SW_MEC_5G,
TOGGLESWITCH1,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
TYPE-C1,Type-C moodule omote,1,~,
U1,XIAO-ESP32S3-DIP,1,XIAO ESP32 S3,
