Designator,Mid X,Mid Y,Rotation,Layer
A1,150.381,-83.0,270.0,top
BZ1,165.1,-68.8,0.0,top
C1,152.64,-61.64,180.0,top
C10,124.26762,-80.3,180.0,bottom
C11,122.8,-71.2,180.0,bottom
C12,122.8,-73.1,180.0,bottom
C26,147.4,-113.5,180.0,top
CAMERA1,172.3,-118.0,0.0,top
CAMERA2,172.3,-125.0,0.0,top
D1,150.0,-55.0,180.0,top
D10,181.784628,-131.819805,45.0,top
D11,172.5,-138.971143,30.0,top
D12,161.605209,-143.466662,15.0,top
D13,150.0,-145.0,0.0,top
D14,138.353143,-143.442692,345.0,top
D15,127.5,-138.941143,330.0,top
D16,118.180195,-131.784628,315.0,top
D17,111.028857,-122.46085,300.0,top
D18,106.533338,-111.605209,285.0,top
D19,105.0,-100.0,270.0,top
D2,161.646857,-56.557309,165.0,top
D20,106.533338,-88.353143,255.0,top
D21,111.058857,-77.5,240.0,top
D22,118.145017,-68.180195,225.0,top
D23,127.5,-61.028857,210.0,top
D24,138.311496,-56.533338,195.0,top
D25,183.23,-116.77,225.0,top
D3,172.5,-61.028857,150.0,top
D4,181.819805,-68.180195,135.0,top
D5,188.971143,-77.539151,120.0,top
D6,193.466662,-88.353143,105.0,top
D7,195.0,-100.0,90.0,top
D8,193.442692,-111.646857,75.0,top
D9,188.971143,-122.5,60.0,top
GYRO1,150.0,-68.01,270.0,top
J1,132.99,-69.98,90.0,bottom
J2,150.0,-120.0,180.0,bottom
J3,150.01,-136.975,270.0,bottom
J4,113.6,-91.03,0.0,top
J5,150.0,-85.525,180.0,bottom
J6,127.0,-100.0,270.0,top
J7,172.71,-80.165,0.0,bottom
J8,161.86,-80.23,0.0,bottom
MONITOR1,150.0,-110.7075,0.0,top
Q1,186.0,-99.66,180.0,top
R1,189.46,-100.13,90.0,top
R10,182.19,-100.62,0.0,top
R12,164.29,-87.57,270.0,bottom
R13,166.92,-87.61,270.0,bottom
R14,174.37,-87.61,270.0,bottom
R2,160.59,-83.5,270.0,top
R3,177.22,-79.04,0.0,top
R5,145.3,-62.13,0.0,bottom
R6,148.75,-61.37,90.0,bottom
R7,176.91,-87.65,270.0,bottom
R8,132.3,-112.33,140.0,bottom
R9,130.62,-110.3,140.0,bottom
ROGO1,149.83,-103.03,0.0,top
TACT1,134.0,-159.775,90.0,top
TACT2,147.0,-159.775,90.0,top
TACT3,160.0,-159.775,90.0,top
TOGGLESWITCH1,172.025,-159.79,0.0,top
TYPE-C1,127.39412910864986,-119.66928713533815,130.0,top
U1,179.0,-103.0,270.0,top
