Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",293D157X9016D2TE3,4,150uF,
"C10, C16, C7",0603,3,22nF,
"C11, C12, C15, C5, C6, C8, C9",0603,7,0.1uF,
C13,0402,1,22nF,
C14,0402,1,0.1uF,
D1,0603,1,LED,
J1,FFC conector 0.5mm Pich,1,Conn_01x08_Pin,
J2,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,Conn_01x03_Pin,
"MOTOR1, MOTOR2, MOTOR3, MOTOR4",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,4,Conn_01x02_Pin,
"R1, R10, R11, R13, R14, R15, R3, R4, R5, R6, R7, R9",0402,12,10k,
"R12, R16, R2, R8",0402,4,2.49k,
R17,0603,1,150,
"U1, U2, U3, U4",DRV8874 IC,4,DRV8874PWPR,
