Designator,Mid X,Mid Y,Rotation,Layer
C1,131.82,-121.91,75.8304,top
C2,144.181151,-123.770867,85.49,top
C3,156.642497,-123.701268,95.15,top
C4,168.915472,-121.541628,104.81,top
C5,134.81,-123.52,73.0,top
C6,147.369,-124.467,90.0,top
C7,159.854,-123.456,95.15,top
C8,172.79,-119.71,104.81,top
D1,125.09,-116.22,196.8,bottom
IC1,130.171221,-128.535464,197.0,bottom
IC2,143.63072,-130.749193,184.51,bottom
IC3,157.270841,-130.673012,174.85,bottom
IC4,170.704774,-128.309082,165.19,bottom
J1,150.0,-115.32265,180.0,top
J2,180.99069769309637,-136.02539457868212,195.0,top
MOTOR1,118.72225816371024,-135.93489016286304,160.0,top
MOTOR2,135.18998078066417,-140.2428176256983,170.68,top
MOTOR3,150.542671008544,-141.44838960578716,180.34,top
MOTOR4,165.88012648238293,-140.06067020689142,190.0,top
R1,137.64,-123.08,163.0,top
R17,124.43,-118.3,196.8,bottom
R2,136.631,-121.16,163.0,top
R3,149.77,-123.42,180.0,top
R4,147.93,-121.7,175.49,top
R5,161.445,-122.855,95.15,top
R6,160.39,-120.54,185.15,top
R7,174.48,-118.18,104.81,top
R8,171.49,-117.05,194.81,top
