Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C9",CAP_J-V_10X10P5_RUB,2,1000uF,
"C12, C13, C4, C6",0603,4,0.1uF,
C5,0805,1,47uF,
C8,CP_Radial_D6.3mm_P2.50mm,1,100uF,
"D1, D3",Nexperia_CFP3_SOD-123W,2,GS1010FL,
D2,0603,1,LED,
F1,Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,1,Fuse,
J1,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,Conn_01x02_Pin,
J2,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
KICK1,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,Conn_01x02_Pin,
L1,L_Changjiang_FXL1360,1,CSAB1260A,
"LINE1, MAIN1, MD1",JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,3,Conn_01x03_Pin,
R4,0603,1,150,
R5,0603,1,47k,
SW1,DS-850K-S-ON,1,SW_SPST,
U1,LM2576SX-5.0_NOPB,1,LM2576SX-5.0_NOPB,
U2,SOT-223,1,AZ1117CH-3.3TRG1,
