Designator,Mid X,Mid Y,Rotation,Layer
C1,147.9171,-185.2,180.0,top
C12,134.22,-171.22,180.0,bottom
C13,135.63,-169.02,180.0,bottom
C4,117.309,-175.736,270.0,bottom
C5,117.46,-168.1,0.0,bottom
C6,117.25,-169.999,0.0,bottom
C8,125.88,-169.25,0.0,bottom
C9,147.91,-172.91,0.0,top
D1,120.52,-174.87,180.0,bottom
D2,155.8625,-178.513137,180.0,bottom
D3,125.84,-179.36,90.0,bottom
F1,166.181,-178.025,270.0,top
J1,166.13,-161.81,180.0,top
J2,173.695,-182.28,0.0,top
KICK1,143.66,-164.48,180.0,top
L1,129.94,-178.2,90.0,top
LINE1,132.91,-164.48,180.0,top
MAIN1,154.71,-164.48,180.0,top
MD1,121.04,-164.46,180.0,top
R4,155.905,-176.183137,180.0,bottom
R5,137.935,-171.15,0.0,bottom
SW1,178.09,-169.27,0.0,top
U1,135.56,-185.0725,270.0,bottom
U2,119.12,-174.87,90.0,top
