Designator,Mid X,Mid Y,Rotation,Layer
A1,150.0,-58.0,180.0,top
A10,133.810955,-138.686599,337.5,top
A11,120.144321,-129.541291,315.0,top
A12,111.080719,-115.956363,292.5,top
A13,108.0,-100.0,270.0,top
A14,111.3134,-83.810955,247.5,top
A15,120.458709,-70.144321,225.0,top
A16,134.043636,-61.080719,202.5,top
A2,166.189044,-61.3134,157.5,top
A3,179.855679,-70.458709,135.0,top
A4,188.91928,-84.043636,112.5,top
A5,192.0,-100.0,90.0,top
A6,188.686599,-116.189044,67.5,top
A7,179.541291,-129.855679,45.0,top
A8,165.956363,-138.91928,22.5,top
A9,150.0,-142.0,0.0,top
J1,183.0,-100.0,0.0,bottom
J2,117.0,-99.99,180.0,bottom
