Designator,Mid X,Mid Y,Rotation,Layer
D1,157.124054,-45.52542,352.5,top
D10,183.300927,-143.453483,217.5,top
D11,170.909635,-150.67542,202.5,top
D12,157.124054,-154.47458,187.5,top
D13,142.875945,-154.47458,172.5,top
D14,129.090364,-150.67542,157.5,top
D15,116.699072,-143.453482,142.5,top
D16,106.546518,-133.300927,127.5,top
D17,99.324579,-120.909635,112.5,top
D18,95.52542,-107.124054,97.5,top
D19,95.52542,-92.875945,82.5,top
D2,170.909635,-49.324579,337.5,top
D20,99.324579,-79.090364,67.5,top
D21,106.546518,-66.699072,52.5,top
D22,116.699073,-56.546518,37.5,top
D23,129.090364,-49.324579,22.5,top
D24,142.875946,-45.52542,7.5,top
D3,183.300927,-56.546518,322.5,top
D4,193.453482,-66.699072,307.5,top
D5,200.67542,-79.090364,292.5,top
D6,204.47458,-92.875946,277.5,top
D7,204.47458,-107.124054,262.5,top
D8,200.67542,-120.909635,247.5,top
D9,193.453482,-133.300927,232.5,top
IC1,160.8704,-59.431115,90.0,bottom
IC2,150.0,-138.0,90.0,bottom
IC3,139.1296,-59.431115,270.0,bottom
J1,149.975,-70.425,0.0,bottom
J2,150.0,-147.525,180.0,bottom
R1,140.050394,-150.02005,101.25,bottom
R10,194.899359,-130.000793,236.25,top
R11,185.604674,-140.59935,221.25,top
R12,173.883589,-148.431128,206.25,top
R13,160.534877,-152.962405,191.25,top
R14,146.468231,-153.884382,176.25,top
R15,132.642269,-151.134227,161.246,top
R16,119.999207,-144.899359,146.25,top
R17,109.40065,-135.604674,131.25,top
R18,101.568872,-123.883589,116.25,top
R19,97.037595,-110.534877,101.25,top
R2,153.531769,-46.115618,356.25,top
R20,96.115618,-96.468231,86.25,top
R21,98.865773,-82.642269,71.25,top
R22,105.100641,-69.999207,56.25,top
R23,114.395326,-59.40065,41.25,top
R24,126.116411,-51.568872,26.25,top
R25,139.465123,-47.037595,11.25,top
R3,167.357731,-48.865773,341.25,top
R4,180.000793,-55.100641,326.25,top
R5,190.59935,-64.395326,311.25,top
R6,198.431128,-76.116411,296.25,top
R7,202.962405,-89.465123,281.25,top
R8,203.884382,-103.531769,266.25,top
R9,201.134227,-117.357731,251.25,top
T1,150.0,-45.0,0.0,top
T10,188.704477,-138.704477,225.0,top
T11,177.335288,-147.466686,210.0,top
T12,164.133912,-153.024786,195.0,top
T13,150.0,-155.0,180.0,top
T14,135.866088,-153.024786,165.0,top
T15,122.664711,-147.466686,150.0,top
T16,111.295523,-138.704477,135.0,top
T17,102.533315,-127.335288,120.0,top
T18,96.975215,-114.133912,105.0,top
T19,95.0,-100.0,90.0,top
T2,164.133912,-46.975215,345.0,top
T20,96.975215,-85.866088,75.0,top
T21,102.533315,-72.664711,60.0,top
T22,111.295523,-61.295523,45.0,top
T23,122.664711,-52.533314,30.0,top
T24,135.866088,-46.975215,15.0,top
T3,177.335288,-52.533315,330.0,top
T4,188.704477,-61.295523,315.0,top
T5,197.466686,-72.664711,300.0,top
T6,203.024786,-85.866088,285.0,top
T7,205.0,-100.0,270.0,top
T8,203.024786,-114.133912,255.0,top
T9,197.466686,-127.335288,240.0,top
