Designator,Footprint,Quantity,Value,LCSC Part #
"BALL-D15.17.19.23.25.27.29.31, BALL-D32.34.36.38.40.42.44.46",PinSocket_1x09_P2.54mm_Vertical,2,Conn_01x09_Pin,
BNO55,BNO055,1,Conn_01x08_Pin,
BZ1,Buzzer UDX01CLFPH,1,Buzzer,
C1,CP_Radial_D5.0mm_P2.50mm,1,100μF,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C4, C5, C6, C7, C8, C9",0603,17,0.1μF,
C2,CP_Radial_D5.0mm_P2.50mm,1,47μF,
C3,CP_Radial_D5.0mm_P2.50mm,1,0.1μF,
"CATCH1, CATCH2, 電源1",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,3,Conn_01x03_Pin,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,16,WS2812B,
"LINE-A9.11.13,D22.24.26",CON_522710679_MOL,1,Conn_01x06_Pin,
MOTOR-D2.3.4.5.6.7.8.9,CON_522710879_MOL,1,Conn_01x08_Pin,
R1,0805,1,1kΩ,
"R2, R3",0805,2,3.3kΩ,
"TACTSWITCH1, TACTSWITCH3",SW_PUSH_6mm,2,SW_Push,
TACTSWITCH2,SW_TL1100EF160Q,1,SW_Push,
TOGGLESWITCH1,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
U1,ARDUINO_MEGA_2560_PRO,1,Mega 2560 ProMini footprint,
