Designator,Mid X,Mid Y,Rotation,Layer
A1,195.0,-100.0,270.0,bottom
A10,108.42542108179266,-117.22075398742133,67.5,bottom
A11,118.18019477578618,-131.81980618999972,45.0,bottom
A12,132.77924598742135,-141.57457908179268,22.5,bottom
A13,150.0,-145.0,0.0,bottom
A14,167.22075398742135,-141.57457891820732,337.5,bottom
A15,181.81980548289297,-131.81980451710706,315.0,bottom
A16,191.57457908179268,-117.22075401257867,292.5,bottom
A2,191.57457891820732,-82.77924601257867,247.5,bottom
A3,181.81980451710703,-68.18019451710705,225.0,bottom
A4,167.22075401257865,-58.42542091820732,202.5,bottom
A5,150.0,-55.0,180.0,bottom
A6,132.77924601257865,-58.42542108179268,157.5,bottom
A7,118.18019381000028,-68.18019477578618,135.0,bottom
A8,108.42542091820734,-82.77924598742133,112.5,bottom
A9,105.0,-100.0,90.0,bottom
C1,130.9,-82.6,45.0,bottom
C2,129.51,-100.99,90.0,top
C25,137.9,-78.8,225.0,bottom
C26,159.321,-112.622,180.0,top
C27,133.96,-99.25,180.0,top
C28,138.77,-101.04,270.0,top
C29,134.62,-106.78,180.0,top
C3,129.51,-103.19,90.0,top
C30,128.97,-115.4,90.0,top
C31,129.06,-117.37,90.0,top
C32,134.04,-113.47,180.0,top
C33,136.0,-120.82,180.0,top
C34,138.29,-115.41,270.0,top
C35,117.7,-98.2,270.0,top
C36,118.84,-94.41,0.0,top
C4,128.6,-80.5,45.0,bottom
C5,127.4,-78.4,315.0,bottom
C6,132.2,-74.4,135.0,bottom
C8,137.9,-84.4,315.0,bottom
D1,150.0,-59.05,180.0,top
D10,134.309979,-137.879061,337.5,top
D11,121.008622,-128.991378,315.0,top
D12,112.120939,-115.690021,292.5,top
D13,109.0,-100.0,270.0,top
D14,112.120939,-84.309979,247.5,top
D15,121.008622,-71.008622,225.0,top
D16,134.309979,-62.120939,202.5,top
D17,139.23,-67.06,0.0,top
D18,119.8,-91.67,180.0,top
D2,165.690021,-62.120939,157.5,top
D21,134.7,-69.5,225.0,top
D3,178.991378,-71.008622,135.0,top
D4,187.879061,-84.309979,112.5,top
D5,191.0,-100.0,90.0,top
D6,187.879061,-115.690021,67.5,top
D7,178.991378,-128.991378,45.0,top
D8,165.690021,-137.879061,22.5,top
D9,150.0,-141.0,0.0,top
J1,124.005,-103.01,0.0,bottom
J2,130.46,-89.0,270.0,top
MONITOR1,162.0,-110.0,0.0,top
Q1,118.89,-103.8625,270.0,top
R10,118.97,-106.32,0.0,top
R11,138.58,-64.31,0.0,top
R12,130.164,-108.473,270.0,bottom
R13,132.543,-108.454,270.0,bottom
R14,135.103,-108.492,270.0,bottom
R15,140.011,-97.36,90.0,top
R16,108.95,-105.6,281.25,top
R17,109.95,-110.55,281.25,top
R3,119.71,-101.38,180.0,top
R4,135.4,-71.4,135.0,top
R5,120.004,-85.057,180.0,top
R6,120.001,-83.633,180.0,top
R7,137.716637,-86.583363,225.0,top
R8,109.72,-89.527,270.0,top
R9,108.08,-93.749,270.0,top
SW2,140.9,-89.0,270.0,top
TACT1,134.81,-160.0,90.0,top
TACT2,147.81,-160.0,90.0,top
TACT3,160.81,-160.0,90.0,top
TOGGLE1,171.285,-159.985,180.0,top
TYPE-C1,105.857018,-91.259454,258.75,top
TYPE-C2,105.87234,-108.817576,281.25,top
U1,135.0,-103.0,90.0,top
U2,132.70675,-79.232233,315.0,top
U3,134.1815,-103.0,0.0,top
U4,133.3994,-117.195002,0.0,top
Y1,134.0,-81.9,315.0,bottom
