Designator,Footprint,Quantity,Value,LCSC Part #
"A1, A10, A11, A12, A13, A14, A15, A16, A2, A3, A4, A5, A6, A7, A8, A9",TSSP4038,16,TSSP4038,
C1,0603,1,1uF,
"C2, C27, C28, C29, C3, C30, C31, C32, C33, C34",0402,10,0.1uF,
"C25, C4, C5, C6",0603,4,0.1uF,
C26,0603,1,0.1μF,
C35,1206,1,100uF,
C36,0603,1,47uF,
C8,0603,1,4.7uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,16,WS2812B,
"D17, D21",0603,2,LED,
D18,D_SMA,1,SS14,
J1,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J2,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
MONITOR1,SSD1306 (akizuki),1,Conn_01x04_Pin,
Q1,SOT-23,1,BSS138,
"R10, R3",0402,2,10k,
R11,0402,1,150Ω,
"R12, R13, R14, R15",0603,4,1kΩ,
"R16, R17, R8, R9",0603,4,5.1kΩ,
R4,0402,1,100,
"R5, R6",0603,2,22Ω,
R7,0603,1,10kΩ,
SW2,Reset switch,1,SW_MEC_5G,
"TACT1, TACT2, TACT3",Big tact switch MAIN,3,SW_MEC_5G,
TOGGLE1,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"TYPE-C1, TYPE-C2",NELTRON_5077CR-16SMC2-BK-TR,2,5077CR-16SMC2-BK-TR,
U1,XIAO-ESP32S3-DIP,1,XIAO ESP32 S3,
U2,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,
"U3, U4",RU_16_ADI,2,ADM3202ARUZ-REEL7,
Y1,OSC_CSTCE16M0V53-R0,1,CSTCE16M0V53-R0,
