Designator,Mid X,Mid Y,Rotation,Layer
D1,155.78,-78.855,168.0,bottom
D10,158.634373,-83.656663,9.6,top
D11,159.874091,-94.510375,3.2,top
D12,159.853958,-105.470507,356.8,top
D13,158.634374,-116.343337,350.4,top
D14,156.210408,-127.012461,344.0,top
D15,152.612272,-137.344896,337.6,top
D2,152.961,-68.308,162.0,bottom
D3,158.295256,-95.306,178.0,bottom
D4,156.805686,-83.161883,171.0,bottom
D5,152.917,-132.525,197.0,bottom
D6,158.511,-103.264,185.0,bottom
D7,156.0614,-117.122,190.0,bottom
D8,152.612274,-62.655103,22.4,top
D9,156.231,-72.966947,16.0,top
J1,149.975,-100.01,0.0,bottom
R1,150.409,-73.094,255.0,bottom
R10,161.939,-89.777,265.0,bottom
R11,161.704,-85.882,85.0,bottom
R12,161.72,-112.071601,275.0,bottom
R13,162.122,-108.018601,95.0,bottom
R14,158.545,-127.765,285.0,bottom
R15,149.344,-69.789,255.0,bottom
R16,153.286,-85.456,270.0,bottom
R17,154.023,-105.892,280.0,bottom
R18,151.038,-124.407,285.0,bottom
R2,151.252526,-76.173889,75.0,bottom
R3,153.51,-88.679,265.0,bottom
R4,153.929,-92.582,85.0,bottom
R5,153.723,-109.198,275.0,bottom
R6,153.279,-112.467,98.0,bottom
R7,150.17,-127.355,105.0,bottom
R8,158.689,-72.386,255.0,bottom
R9,157.762474,-69.056111,75.0,bottom
T1,154.555647,-67.771069,19.2,top
T2,157.571398,-78.288248,12.8,top
T3,159.396017,-89.076045,6.4,top
T4,160.006763,-100.0,0.0,top
T5,159.396019,-110.923955,353.6,top
T6,157.571399,-121.711753,347.2,top
T7,154.576328,-132.249615,340.8,top
U1,154.278,-73.524,75.0,bottom
U2,157.373,-89.287,85.0,bottom
U3,157.215,-110.667,97.0,bottom
U4,154.197,-126.403,105.0,bottom
