Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C15, C2, C9",0603,6,0.1uF,
C10,CAP_J-V_10X10P5_RUB,1,1000uF,
"C12, C8",0402,2,0.1μF,
"C3, C6",0603,2,0.1μF,
"C30, C31, C32, C33, C34, C7",0402,6,0.1uF,
C5,1206,1,100uF,
"D0, D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D27, D3, D4, D5, D6, D7, D8, D9",0603,27,LED,
"J1, SIDE1, SIDE2, SIDE3, SIDE4",PinSocket_1x04_P2.54mm_Vertical,5,Conn_01x04_Pin,
J2,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,Conn_01x04_Pin,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32",0603,24,22k,
"R2, R58, R6",0402,3,150,
"R3, R4",0603,2,5.1kΩ,
"R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56",0603,24,4.7k,
R5,0603,1,10kΩ,
R57,0603,1,470,
"R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R7",0603,12,50,
"R8, R9",0603,2,22,
SW1,Reset switch,1,SW_MEC_5G,
"T0, T1, T10, T11, T12, T13, T14, T15, T16, T17, T18, T19, T2, T20, T21, T22, T23, T3, T4, T5, T6, T7, T8, T9",0603,24,B19H1LS,
TYPE-C1,NELTRON_5077CR-16SMC2-BK-TR,1,5077CR-16SMC2-BK-TR,
U1,TQFP-100_14x14mm_P0.5mm,1,ATmega2560-16A,
"U10, U11, U12, U13, U2, U3, U4, U5, U6, U7, U8, U9",D0008A-IPC_A,12,LM393,
U14,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U15,RU_16_ADI,1,ADM3202ARUZ-REEL7,
Y2,OSC_CSTCE16M0V53-R0,1,CSTNE16M0V530000R0,
