Designator,Mid X,Mid Y,Rotation,Layer
C1,136.04,-64.24,315.0,top
C10,150.004,-59.614,180.0,bottom
C12,162.6,-58.13,0.0,bottom
C13,122.92,-72.87,315.0,top
C14,124.56,-61.16,225.0,top
C15,177.42,-60.925,270.0,bottom
C2,133.35,-67.21,45.0,top
C3,133.83,-62.05,315.0,top
C30,163.58,-73.48,270.0,bottom
C31,163.54,-71.48,270.0,bottom
C32,167.98,-74.95,0.0,bottom
C33,161.86,-71.44,90.0,bottom
C34,172.33,-73.44,90.0,bottom
C5,174.085,-61.057,270.0,bottom
C6,163.23,-65.08,270.0,bottom
C7,143.957,-62.661,180.0,top
C8,162.61,-59.27,180.0,bottom
C9,129.97,-57.96,135.0,top
D0,157.439993,-43.487643,82.5,top
D1,171.812956,-47.338867,67.5,top
D10,171.812956,-152.661133,292.5,top
D11,157.439993,-156.512357,277.5,top
D12,142.560007,-156.512357,262.5,top
D13,128.187044,-152.661133,247.5,top
D14,115.300599,-145.22114,232.5,top
D15,104.77886,-134.699401,217.5,top
D16,97.338867,-121.812956,202.5,top
D17,93.487643,-107.439993,187.5,top
D18,93.487643,-92.560007,172.5,top
D19,97.338867,-78.187044,157.5,top
D2,184.699401,-54.77886,52.5,top
D20,104.77886,-65.300599,142.5,top
D21,115.300599,-54.77886,127.5,top
D22,128.187044,-47.338867,112.5,top
D23,142.560007,-43.487643,97.5,top
D24,170.559949,-65.5225,90.0,bottom
D25,167.937348,-65.574,90.0,bottom
D27,123.41,-74.92,180.0,bottom
D3,195.22114,-65.300599,37.5,top
D4,202.661133,-78.187044,22.5,top
D5,206.512357,-92.560007,7.5,top
D6,206.512357,-107.439993,352.5,top
D7,202.661133,-121.812956,337.5,top
D8,195.22114,-134.699401,322.5,top
D9,184.699401,-145.22114,307.5,top
J1,138.01,-74.425,270.0,top
J2,182.15,-79.13,0.0,bottom
R1,151.2,-46.6,7.5,bottom
R10,162.6,-47.3,277.5,bottom
R11,175.654517,-53.197772,37.5,bottom
R12,186.9,-60.4,307.5,bottom
R13,196.7,-73.5,67.5,bottom
R14,201.4,-84.0,337.5,bottom
R15,204.1,-99.2,97.5,bottom
R16,202.7,-112.0,7.5,bottom
R17,195.8,-127.7,127.5,bottom
R18,189.6,-136.8,37.5,bottom
R19,175.9,-146.8,157.5,bottom
R2,125.89,-74.98,0.0,bottom
R20,165.6,-151.4,67.5,bottom
R21,151.0,-153.3,187.5,bottom
R22,137.9,-152.4,97.5,bottom
R23,122.2,-145.4,217.5,bottom
