Designator,Mid X,Mid Y,Rotation,Layer
A1,150.0,-100.381,180.0,top
BNO1,134.99,-114.0,180.0,top
BZ1,164.755,-74.72,0.0,top
C1,136.1,-116.5,90.0,top
C10,164.875,-67.075,270.0,bottom
C11,161.75,-71.125,270.0,bottom
C12,159.975,-71.85,270.0,bottom
C2,129.5,-98.9,90.0,top
C27,133.5,-97.3,180.0,top
C28,138.3,-98.7,270.0,top
C29,133.1,-104.72,90.0,top
C3,129.5,-100.9,90.0,top
C30,153.6,-127.5,90.0,top
C31,146.725,-127.225,90.0,top
C32,151.9,-132.3,180.0,top
C4,152.275,-123.475,0.0,top
C5,150.35,-123.475,0.0,top
C6,115.660583,-124.009418,225.0,bottom
C7,121.495868,-76.736615,260.0,top
C8,178.96,-127.95,45.0,top
C9,186.23988,-77.66988,45.0,bottom
CAMERA1,168.0,-84.0,0.0,top
CAMERA2,168.0,-90.0,0.0,top
CATCHSENSOR1,173.99,-66.64,180.0,bottom
D1,184.798,-92.276,0.0,top
ENCODER1,184.69451857055043,-79.56348157055044,45.0,bottom
ENCODER2,177.46611642944956,-126.52888357055045,135.0,bottom
ENCODER3,117.64048142944957,-122.02951842944955,225.0,bottom
ENCODER4,118.62241333374901,-75.72091407379578,280.0,bottom
F1,149.88,-66.78,180.0,bottom
J1,149.5,-76.55,0.0,bottom
J2,124.02,-103.01,0.0,top
J3,140.92,-62.175,90.0,top
J6,129.66265,-90.0,270.0,top
KICK1,135.825,-130.125,0.0,bottom
LED1,128.31,-65.52,180.0,bottom
LINE1,150.0,-119.475,180.0,bottom
R1,136.09690223162264,-68.24519950969824,165.0,bottom
R2,173.74789755157235,-75.49210244842766,315.0,bottom
R5,135.775,-108.8,180.0,top
R6,135.8,-111.4,180.0,top
U1,174.0,-106.0,270.0,top
U2,134.0,-101.0,0.0,top
U3,150.0,-128.0,270.0,top
